invoice_number,vendor_name,address,issued_date,due_date,invoice_status,product_name,quantity,unit_price
34-2022-08-24-Co,Company C,Brunei Darussalam,2022-08-24,2022-09-08,Pending,UI/UX Design,1,270.05
1-2023-06-26-Co,Company A,Uzbekistan,2023-06-26,2023-07-14,Pending,Web Development,1,1942.07
82-2023-01-28-Co,Company D,Greece,2023-01-28,2023-02-13,Paid,UI/UX Design,1,475.99
32-2023-05-29-Co,Company E,Sweden,2023-05-29,2023-06-16,Paid,AI Solution,1,6453.62
15-2023-02-07-Co,Company A,Botswana,2023-02-07,2023-02-25,Paid,AI Solution,1,7653.43
80-2023-02-09-Co,Company E,United States Virgin Islands,2023-02-09,2023-02-17,Overdue,AI Solution,1,8716.49
69-2023-02-08-Co,Company E,Guam,2023-02-08,2023-03-08,Paid,AI Solution,1,7503.58
12-2023-03-15-Co,Company D,New Caledonia,2023-03-15,2023-04-10,Overdue,Mobile App Development,1,3715.86
81-2023-03-26-Co,Company C,El Salvador,2023-03-26,2023-04-10,Paid,AI Solution,1,8230.95
94-2023-03-24-Co,Company C,Mauritius,2023-03-24,2023-04-05,Overdue,IoT Solution,1,7887.21
29-2022-07-18-Co,Company E,Dominica,2022-07-18,2022-08-10,Paid,Web Development,1,2941.12
22-2023-05-08-Co,Company B,Guadeloupe,2023-05-08,2023-05-28,Paid,Web Development,1,2814.45
57-2023-03-02-Co,Company E,Guernsey,2023-03-02,2023-03-23,Paid,IoT Solution,1,6459.03
65-2023-05-31-Co,Company D,Costa Rica,2023-05-31,2023-06-16,Pending,AI Solution,1,8281.18
23-2022-08-10-Co,Company A,Bermuda,2022-08-10,2022-08-19,Paid,Web Development,1,815.06
69-2023-05-16-Co,Company C,Indonesia,2023-05-16,2023-05-30,Paid,AI Solution,1,3205.24
19-2023-02-27-Co,Company B,Ethiopia,2023-02-27,2023-03-29,Paid,E-commerce Development,1,3602.18
18-2023-03-22-Co,Company C,Saint Vincent and the Grenadines,2023-03-22,2023-04-01,Paid,IoT Solution,1,2197.35
1-2022-10-11-Co,Company B,Canada,2022-10-11,2022-11-07,Pending,E-commerce Development,1,1881.46
37-2022-08-19-Co,Company C,Antarctica (the territory South of 60 deg S),2022-08-19,2022-09-09,Pending,UI/UX Design,1,870.02
46-2023-02-09-Co,Company D,Indonesia,2023-02-09,2023-02-25,Paid,IoT Solution,1,3250.49
36-2023-01-24-Co,Company A,Nepal,2023-01-24,2023-02-18,Pending,AI Solution,1,8268.15
48-2023-04-24-Co,Company C,Tonga,2023-04-24,2023-05-07,Paid,Web Development,1,1522.76
8-2022-08-18-Co,Company A,Switzerland,2022-08-18,2022-09-16,Pending,Mobile App Development,1,4814.31
37-2022-12-26-Co,Company E,Angola,2022-12-26,2023-01-17,Overdue,UI/UX Design,1,814.62
85-2022-08-23-Co,Company D,France,2022-08-23,2022-09-04,Paid,IoT Solution,1,2633.35
59-2023-02-22-Co,Company C,Hungary,2023-02-22,2023-03-04,Pending,IoT Solution,1,5170.3
47-2022-08-19-Co,Company E,Bermuda,2022-08-19,2022-08-28,Paid,IoT Solution,1,3047.39
45-2023-07-01-Co,Company E,Slovakia (Slovak Republic),2023-07-01,2023-07-30,Overdue,UI/UX Design,1,781.82
41-2023-03-03-Co,Company B,Bermuda,2023-03-03,2023-03-22,Paid,Mobile App Development,1,1123.72
45-2022-11-08-Co,Company D,Morocco,2022-11-08,2022-11-22,Overdue,E-commerce Development,1,3940.96
10-2022-10-21-Co,Company E,British Indian Ocean Territory (Chagos Archipelago),2022-10-21,2022-11-16,Overdue,UI/UX Design,1,340.58
56-2023-01-07-Co,Company B,Ireland,2023-01-07,2023-01-24,Overdue,E-commerce Development,1,2272.04
21-2022-12-22-Co,Company C,Niger,2022-12-22,2023-01-06,Overdue,IoT Solution,1,2987.28
17-2023-06-25-Co,Company C,United States of America,2023-06-25,2023-07-05,Pending,Web Development,1,2337.22
28-2023-02-19-Co,Company A,French Guiana,2023-02-19,2023-03-07,Overdue,UI/UX Design,1,491.08
22-2023-02-01-Co,Company B,American Samoa,2023-02-01,2023-02-20,Overdue,AI Solution,1,8489.14
68-2023-02-27-Co,Company D,Australia,2023-02-27,2023-03-22,Pending,UI/UX Design,1,548.09
46-2023-01-18-Co,Company D,Iceland,2023-01-18,2023-02-05,Overdue,AI Solution,1,4973.39
36-2023-02-09-Co,Company B,Canada,2023-02-09,2023-02-18,Overdue,AI Solution,1,3431.11
41-2022-12-23-Co,Company A,Saint Martin,2022-12-23,2022-12-31,Pending,IoT Solution,1,5342.33
77-2022-07-27-Co,Company A,United Kingdom,2022-07-27,2022-08-20,Overdue,UI/UX Design,1,971.6
69-2022-07-19-Co,Company B,Malawi,2022-07-19,2022-08-08,Pending,Web Development,1,2177.97
49-2023-02-23-Co,Company E,Yemen,2023-02-23,2023-03-10,Overdue,UI/UX Design,1,432.76
25-2022-07-15-Co,Company B,Chad,2022-07-15,2022-08-01,Overdue,Mobile App Development,1,4974.61
35-2022-10-12-Co,Company C,Aruba,2022-10-12,2022-11-03,Paid,Web Development,1,539.1
55-2022-10-01-Co,Company B,Panama,2022-10-01,2022-10-25,Overdue,UI/UX Design,1,455.71
17-2022-07-25-Co,Company C,Malta,2022-07-25,2022-08-24,Overdue,Mobile App Development,1,2907.1
88-2023-01-26-Co,Company D,Belarus,2023-01-26,2023-02-06,Paid,E-commerce Development,1,4294.26
34-2022-09-11-Co,Company E,Belgium,2022-09-11,2022-10-05,Paid,IoT Solution,1,7342.11
22-2022-08-30-Co,Company B,Bhutan,2022-08-30,2022-09-16,Paid,E-commerce Development,1,4547.69
8-2022-11-17-Co,Company A,Sri Lanka,2022-11-17,2022-12-05,Paid,AI Solution,1,9458.26
55-2022-11-15-Co,Company A,Kyrgyz Republic,2022-11-15,2022-12-15,Pending,Mobile App Development,1,4334.75
44-2022-10-22-Co,Company B,Liberia,2022-10-22,2022-11-21,Overdue,IoT Solution,1,2027.86
48-2023-06-26-Co,Company A,Maldives,2023-06-26,2023-07-11,Paid,E-commerce Development,1,3185.01
46-2023-01-19-Co,Company D,Uganda,2023-01-19,2023-02-01,Pending,Web Development,1,1208.08
22-2022-09-28-Co,Company A,Saint Pierre and Miquelon,2022-09-28,2022-10-06,Paid,Mobile App Development,1,1450.19
26-2023-03-28-Co,Company E,Niue,2023-03-28,2023-04-20,Pending,Mobile App Development,1,4010.42
60-2022-10-30-Co,Company D,Philippines,2022-10-30,2022-11-13,Paid,UI/UX Design,1,939.72
71-2023-05-13-Co,Company B,Cambodia,2023-05-13,2023-06-09,Paid,AI Solution,1,5096.97
18-2023-02-28-Co,Company D,El Salvador,2023-02-28,2023-03-11,Paid,IoT Solution,1,3413.32
36-2022-10-18-Co,Company C,Sierra Leone,2022-10-18,2022-11-16,Paid,IoT Solution,1,3239.78
7-2023-01-18-Co,Company C,Kiribati,2023-01-18,2023-02-03,Overdue,Web Development,1,1438.43
22-2023-05-19-Co,Company B,Seychelles,2023-05-19,2023-06-12,Paid,Mobile App Development,1,3241.75
34-2022-09-05-Co,Company A,Samoa,2022-09-05,2022-10-03,Overdue,Web Development,1,1914.04
88-2022-11-18-Co,Company D,Papua New Guinea,2022-11-18,2022-12-15,Paid,UI/UX Design,1,790.78
96-2023-05-13-Co,Company E,Saint Lucia,2023-05-13,2023-06-02,Paid,Web Development,1,1799.68
68-2022-07-25-Co,Company E,Jamaica,2022-07-25,2022-08-14,Overdue,IoT Solution,1,6745.8
92-2022-09-25-Co,Company E,Cayman Islands,2022-09-25,2022-10-03,Pending,E-commerce Development,1,4964.28
64-2022-09-25-Co,Company D,Poland,2022-09-25,2022-10-20,Paid,E-commerce Development,1,2099.45
73-2023-03-17-Co,Company E,Cayman Islands,2023-03-17,2023-04-11,Paid,IoT Solution,1,7265.18
49-2022-10-02-Co,Company A,Papua New Guinea,2022-10-02,2022-10-26,Pending,Web Development,1,938.42
2-2023-03-14-Co,Company C,Angola,2023-03-14,2023-03-23,Paid,IoT Solution,1,7728.7
40-2022-10-18-Co,Company B,Australia,2022-10-18,2022-11-10,Paid,UI/UX Design,1,283.92
91-2023-05-15-Co,Company E,Kyrgyz Republic,2023-05-15,2023-06-13,Overdue,Web Development,1,980.85
17-2023-04-05-Co,Company E,Nepal,2023-04-05,2023-04-12,Paid,IoT Solution,1,7203.84
46-2023-03-10-Co,Company D,Seychelles,2023-03-10,2023-03-17,Overdue,E-commerce Development,1,2767.16
15-2022-12-05-Co,Company C,Moldova,2022-12-05,2022-12-18,Paid,Web Development,1,639.5
76-2022-11-03-Co,Company A,Belize,2022-11-03,2022-12-01,Overdue,Mobile App Development,1,4908.31
3-2022-12-08-Co,Company B,Zambia,2022-12-08,2023-01-01,Overdue,AI Solution,1,3913.41
35-2022-08-02-Co,Company B,Jamaica,2022-08-02,2022-08-19,Overdue,AI Solution,1,5076.92
58-2022-07-24-Co,Company E,Faroe Islands,2022-07-24,2022-08-08,Paid,Mobile App Development,1,4167.03
88-2022-11-26-Co,Company B,Egypt,2022-11-26,2022-12-23,Overdue,AI Solution,1,3696.0
36-2023-03-18-Co,Company D,Falkland Islands (Malvinas),2023-03-18,2023-04-05,Overdue,Mobile App Development,1,4892.6
10-2023-01-08-Co,Company B,Turks and Caicos Islands,2023-01-08,2023-02-03,Paid,AI Solution,1,8092.61
43-2023-05-28-Co,Company C,Hungary,2023-05-28,2023-06-19,Pending,E-commerce Development,1,3636.16
82-2023-01-08-Co,Company B,Sweden,2023-01-08,2023-01-21,Pending,Web Development,1,2179.27
45-2023-02-03-Co,Company C,Bulgaria,2023-02-03,2023-03-04,Overdue,Web Development,1,2301.44
46-2023-04-10-Co,Company E,Sierra Leone,2023-04-10,2023-05-09,Paid,IoT Solution,1,6983.14
65-2022-11-07-Co,Company C,Guyana,2022-11-07,2022-12-07,Overdue,UI/UX Design,1,755.81
67-2023-03-25-Co,Company D,Norfolk Island,2023-03-25,2023-04-05,Pending,Web Development,1,1056.71
77-2022-09-02-Co,Company B,Kazakhstan,2022-09-02,2022-09-30,Overdue,E-commerce Development,1,4677.13
31-2023-06-17-Co,Company A,British Indian Ocean Territory (Chagos Archipelago),2023-06-17,2023-07-04,Paid,IoT Solution,1,5745.98
59-2022-09-24-Co,Company B,Guinea,2022-09-24,2022-10-07,Paid,AI Solution,1,9596.29
66-2023-03-22-Co,Company C,Congo,2023-03-22,2023-04-05,Paid,AI Solution,1,4117.33
83-2023-01-21-Co,Company B,Korea,2023-01-21,2023-02-02,Paid,IoT Solution,1,6918.65
93-2023-06-04-Co,Company C,Holy See (Vatican City State),2023-06-04,2023-06-18,Pending,UI/UX Design,1,230.09
11-2023-02-27-Co,Company C,Greece,2023-02-27,2023-03-06,Paid,E-commerce Development,1,2528.39
26-2023-06-28-Co,Company E,Fiji,2023-06-28,2023-07-20,Overdue,UI/UX Design,1,618.47
99-2022-11-07-Co,Company B,Bhutan,2022-11-07,2022-11-27,Paid,UI/UX Design,1,822.41
61-2023-05-04-Co,Company C,Palau,2023-05-04,2023-05-11,Paid,UI/UX Design,1,284.15
76-2023-03-26-Co,Company D,Tanzania,2023-03-26,2023-04-18,Overdue,Mobile App Development,1,1879.4
33-2022-12-09-Co,Company C,Mozambique,2022-12-09,2022-12-20,Overdue,IoT Solution,1,2274.96
13-2022-09-13-Co,Company D,United Kingdom,2022-09-13,2022-10-08,Pending,UI/UX Design,1,325.67
70-2022-10-01-Co,Company B,Morocco,2022-10-01,2022-10-15,Overdue,E-commerce Development,1,2723.97
34-2022-09-25-Co,Company B,Nepal,2022-09-25,2022-10-09,Paid,Mobile App Development,1,3857.4
64-2023-04-24-Co,Company E,Tanzania,2023-04-24,2023-05-10,Overdue,E-commerce Development,1,2587.44
93-2023-04-23-Co,Company B,Colombia,2023-04-23,2023-05-14,Pending,Web Development,1,2617.31
45-2023-02-02-Co,Company A,French Polynesia,2023-02-02,2023-02-20,Pending,E-commerce Development,1,4452.33
23-2023-01-17-Co,Company E,Dominica,2023-01-17,2023-01-27,Pending,AI Solution,1,4022.23
72-2023-07-06-Co,Company D,Afghanistan,2023-07-06,2023-08-03,Paid,Web Development,1,2549.42
97-2022-12-03-Co,Company E,Barbados,2022-12-03,2022-12-17,Pending,AI Solution,1,7739.69
46-2022-08-17-Co,Company D,Guadeloupe,2022-08-17,2022-09-07,Paid,Mobile App Development,1,4293.41
53-2023-01-31-Co,Company A,Bangladesh,2023-01-31,2023-02-17,Paid,UI/UX Design,1,866.0
42-2023-03-15-Co,Company B,Hong Kong,2023-03-15,2023-04-06,Paid,AI Solution,1,9196.57
36-2022-09-06-Co,Company D,United States of America,2022-09-06,2022-09-28,Overdue,UI/UX Design,1,447.48
49-2022-07-27-Co,Company B,Somalia,2022-07-27,2022-08-14,Paid,UI/UX Design,1,365.24
89-2022-08-02-Co,Company B,Estonia,2022-08-02,2022-08-19,Overdue,IoT Solution,1,5011.84
34-2022-11-25-Co,Company A,Timor-Leste,2022-11-25,2022-12-02,Overdue,AI Solution,1,8564.55
70-2023-04-12-Co,Company C,Bouvet Island (Bouvetoya),2023-04-12,2023-04-24,Overdue,Mobile App Development,1,3411.29
24-2023-06-19-Co,Company E,Western Sahara,2023-06-19,2023-06-30,Overdue,Web Development,1,1416.14
77-2022-10-02-Co,Company C,Czech Republic,2022-10-02,2022-10-23,Overdue,Mobile App Development,1,2001.48
3-2023-04-26-Co,Company C,Saint Martin,2023-04-26,2023-05-24,Pending,E-commerce Development,1,2354.86
96-2023-05-12-Co,Company E,Dominican Republic,2023-05-12,2023-05-27,Pending,E-commerce Development,1,3870.62
16-2023-03-10-Co,Company B,Sri Lanka,2023-03-10,2023-03-22,Overdue,Web Development,1,2210.35
81-2023-05-21-Co,Company C,Bahamas,2023-05-21,2023-06-08,Pending,IoT Solution,1,3046.26
63-2022-10-20-Co,Company A,Faroe Islands,2022-10-20,2022-11-14,Paid,E-commerce Development,1,4453.06
5-2023-04-21-Co,Company B,Pakistan,2023-04-21,2023-05-16,Overdue,E-commerce Development,1,4478.14
37-2022-08-23-Co,Company E,Malta,2022-08-23,2022-09-21,Paid,IoT Solution,1,7635.02
30-2023-06-04-Co,Company B,Bermuda,2023-06-04,2023-06-25,Pending,IoT Solution,1,6348.51
36-2023-04-07-Co,Company E,American Samoa,2023-04-07,2023-04-29,Paid,UI/UX Design,1,346.93
79-2023-04-23-Co,Company D,Romania,2023-04-23,2023-05-17,Paid,UI/UX Design,1,830.54
11-2023-05-21-Co,Company D,Montenegro,2023-05-21,2023-06-03,Pending,AI Solution,1,8592.4
48-2022-09-16-Co,Company A,Egypt,2022-09-16,2022-10-10,Pending,Mobile App Development,1,1774.69
58-2023-05-23-Co,Company E,Algeria,2023-05-23,2023-06-17,Overdue,Mobile App Development,1,3034.42
41-2022-08-29-Co,Company E,Turks and Caicos Islands,2022-08-29,2022-09-07,Overdue,IoT Solution,1,6655.0
99-2023-05-22-Co,Company E,Poland,2023-05-22,2023-06-10,Pending,AI Solution,1,4570.04
32-2023-06-20-Co,Company E,Saint Pierre and Miquelon,2023-06-20,2023-07-11,Paid,UI/UX Design,1,631.84
3-2023-06-13-Co,Company D,Ethiopia,2023-06-13,2023-07-05,Paid,AI Solution,1,4693.29
2-2022-07-27-Co,Company E,Andorra,2022-07-27,2022-08-15,Overdue,Web Development,1,740.48
25-2022-10-11-Co,Company D,Guatemala,2022-10-11,2022-11-01,Pending,AI Solution,1,8368.5
65-2023-01-06-Co,Company B,Western Sahara,2023-01-06,2023-02-03,Overdue,Mobile App Development,1,2345.94
7-2023-06-06-Co,Company B,Falkland Islands (Malvinas),2023-06-06,2023-06-30,Overdue,E-commerce Development,1,1017.95
35-2023-01-25-Co,Company B,Denmark,2023-01-25,2023-02-23,Pending,E-commerce Development,1,2371.83
30-2022-11-26-Co,Company A,Guinea-Bissau,2022-11-26,2022-12-17,Paid,Mobile App Development,1,4326.79
38-2022-07-10-Co,Company C,French Guiana,2022-07-10,2022-07-17,Overdue,Web Development,1,2284.82
74-2023-07-10-Co,Company D,Heard Island and McDonald Islands,2023-07-10,2023-07-22,Overdue,UI/UX Design,1,814.42
89-2022-07-28-Co,Company E,Libyan Arab Jamahiriya,2022-07-28,2022-08-04,Paid,Mobile App Development,1,1153.37
12-2023-06-29-Co,Company A,Belgium,2023-06-29,2023-07-27,Pending,UI/UX Design,1,485.26
86-2023-06-13-Co,Company A,Guatemala,2023-06-13,2023-07-11,Pending,E-commerce Development,1,1492.62
45-2022-08-26-Co,Company A,Netherlands,2022-08-26,2022-09-07,Pending,UI/UX Design,1,682.55
25-2022-10-20-Co,Company D,Korea,2022-10-20,2022-10-30,Paid,Mobile App Development,1,4546.78
4-2022-12-30-Co,Company A,Congo,2022-12-30,2023-01-20,Paid,UI/UX Design,1,932.97
88-2022-10-06-Co,Company E,Jersey,2022-10-06,2022-10-31,Paid,E-commerce Development,1,2332.3
6-2022-09-17-Co,Company E,Germany,2022-09-17,2022-09-28,Paid,UI/UX Design,1,984.88
13-2022-09-25-Co,Company A,Netherlands Antilles,2022-09-25,2022-10-16,Paid,AI Solution,1,5069.82
58-2022-08-28-Co,Company D,Guinea-Bissau,2022-08-28,2022-09-22,Overdue,UI/UX Design,1,985.21
48-2023-04-11-Co,Company C,Spain,2023-04-11,2023-05-05,Overdue,Mobile App Development,1,4670.58
35-2022-08-13-Co,Company E,Colombia,2022-08-13,2022-08-27,Overdue,AI Solution,1,6049.55
7-2023-06-07-Co,Company C,Namibia,2023-06-07,2023-06-19,Pending,IoT Solution,1,5758.4
93-2023-06-06-Co,Company C,Falkland Islands (Malvinas),2023-06-06,2023-06-22,Overdue,UI/UX Design,1,349.09
54-2022-09-30-Co,Company C,Ireland,2022-09-30,2022-10-30,Pending,UI/UX Design,1,260.96
69-2022-10-23-Co,Company B,India,2022-10-23,2022-11-11,Overdue,Web Development,1,667.1
17-2022-12-13-Co,Company E,Argentina,2022-12-13,2023-01-08,Pending,IoT Solution,1,5838.37
46-2023-04-22-Co,Company A,Mexico,2023-04-22,2023-05-05,Pending,Web Development,1,714.82
78-2022-09-20-Co,Company E,Sao Tome and Principe,2022-09-20,2022-09-28,Pending,Web Development,1,2436.42
75-2023-04-08-Co,Company B,Indonesia,2023-04-08,2023-05-05,Paid,IoT Solution,1,3917.93
28-2023-01-27-Co,Company B,Saint Kitts and Nevis,2023-01-27,2023-02-15,Overdue,Web Development,1,816.56
70-2022-09-01-Co,Company E,Kazakhstan,2022-09-01,2022-09-16,Overdue,Mobile App Development,1,3406.75
3-2023-03-26-Co,Company C,Australia,2023-03-26,2023-04-11,Overdue,Mobile App Development,1,1969.97
58-2022-08-14-Co,Company B,Austria,2022-08-14,2022-09-03,Pending,Web Development,1,1123.32
57-2023-04-21-Co,Company A,Russian Federation,2023-04-21,2023-05-12,Overdue,Web Development,1,593.28
67-2022-07-18-Co,Company E,Philippines,2022-07-18,2022-08-02,Pending,E-commerce Development,1,1564.16
56-2022-10-14-Co,Company B,Mexico,2022-10-14,2022-10-29,Overdue,IoT Solution,1,3044.79
69-2022-09-21-Co,Company B,Bermuda,2022-09-21,2022-10-11,Pending,Mobile App Development,1,2894.0
100-2023-06-02-Co,Company D,Panama,2023-06-02,2023-06-30,Paid,AI Solution,1,3646.82
92-2023-07-10-Co,Company E,Gibraltar,2023-07-10,2023-07-18,Overdue,E-commerce Development,1,4791.21
52-2022-09-20-Co,Company C,Guatemala,2022-09-20,2022-09-27,Overdue,AI Solution,1,8581.98
28-2022-08-08-Co,Company A,Malaysia,2022-08-08,2022-08-28,Overdue,UI/UX Design,1,748.49
30-2022-09-20-Co,Company B,Sudan,2022-09-20,2022-09-29,Paid,IoT Solution,1,3658.5
48-2023-06-19-Co,Company C,Norfolk Island,2023-06-19,2023-07-19,Pending,UI/UX Design,1,547.63
18-2023-04-19-Co,Company B,Guyana,2023-04-19,2023-05-09,Paid,Mobile App Development,1,2278.36
87-2022-09-06-Co,Company A,Guadeloupe,2022-09-06,2022-09-25,Pending,E-commerce Development,1,2806.41
30-2023-01-23-Co,Company A,Puerto Rico,2023-01-23,2023-02-22,Overdue,E-commerce Development,1,4796.98
85-2023-03-24-Co,Company A,Mayotte,2023-03-24,2023-04-19,Paid,UI/UX Design,1,784.93
4-2022-11-06-Co,Company A,Ecuador,2022-11-06,2022-11-16,Overdue,Mobile App Development,1,3698.34
65-2022-11-14-Co,Company A,Poland,2022-11-14,2022-12-08,Paid,UI/UX Design,1,510.3
83-2023-04-07-Co,Company B,Uruguay,2023-04-07,2023-05-04,Pending,Web Development,1,715.38
4-2023-01-25-Co,Company C,Hungary,2023-01-25,2023-02-08,Pending,AI Solution,1,6263.45
51-2022-12-17-Co,Company C,Malaysia,2022-12-17,2022-12-31,Overdue,AI Solution,1,6180.36
61-2023-07-07-Co,Company D,Uganda,2023-07-07,2023-08-02,Pending,Web Development,1,2984.44
66-2022-11-30-Co,Company A,Oman,2022-11-30,2022-12-27,Overdue,IoT Solution,1,5662.7
74-2023-04-06-Co,Company E,Japan,2023-04-06,2023-04-15,Overdue,Mobile App Development,1,2768.33
74-2022-07-15-Co,Company A,Barbados,2022-07-15,2022-08-02,Pending,Mobile App Development,1,3954.61
11-2023-02-05-Co,Company C,South Georgia and the South Sandwich Islands,2023-02-05,2023-02-15,Overdue,Mobile App Development,1,2863.84
78-2022-11-25-Co,Company C,Guam,2022-11-25,2022-12-03,Overdue,AI Solution,1,4781.23
15-2023-03-12-Co,Company C,Denmark,2023-03-12,2023-04-07,Pending,AI Solution,1,4794.35
79-2022-09-13-Co,Company B,Cape Verde,2022-09-13,2022-09-27,Overdue,Mobile App Development,1,4765.13
74-2022-07-20-Co,Company E,Gambia,2022-07-20,2022-08-10,Overdue,Web Development,1,1740.11
55-2022-08-14-Co,Company A,Palau,2022-08-14,2022-09-13,Overdue,Web Development,1,1962.7
53-2022-09-22-Co,Company D,Paraguay,2022-09-22,2022-10-13,Paid,IoT Solution,1,7718.85
19-2022-07-18-Co,Company B,Iraq,2022-07-18,2022-07-29,Pending,UI/UX Design,1,237.57
78-2022-08-18-Co,Company C,Timor-Leste,2022-08-18,2022-08-31,Paid,Mobile App Development,1,1168.38
37-2023-04-18-Co,Company B,Samoa,2023-04-18,2023-04-25,Overdue,IoT Solution,1,5111.89
99-2022-09-02-Co,Company C,Netherlands,2022-09-02,2022-09-25,Overdue,E-commerce Development,1,2205.05
100-2023-05-25-Co,Company E,Pakistan,2023-05-25,2023-06-02,Overdue,IoT Solution,1,4057.63
70-2022-11-26-Co,Company D,Somalia,2022-11-26,2022-12-18,Overdue,Mobile App Development,1,2099.41
32-2022-09-30-Co,Company D,Gibraltar,2022-09-30,2022-10-19,Paid,Web Development,1,532.91
22-2023-01-16-Co,Company E,United States Virgin Islands,2023-01-16,2023-01-24,Paid,E-commerce Development,1,4957.91
44-2022-09-28-Co,Company B,Denmark,2022-09-28,2022-10-15,Pending,E-commerce Development,1,3042.31
21-2022-09-07-Co,Company D,Moldova,2022-09-07,2022-10-07,Paid,Web Development,1,2264.62
89-2023-04-29-Co,Company E,Equatorial Guinea,2023-04-29,2023-05-26,Pending,IoT Solution,1,6314.77
26-2023-06-15-Co,Company D,Zambia,2023-06-15,2023-07-09,Overdue,IoT Solution,1,2794.15
44-2023-06-26-Co,Company A,Lithuania,2023-06-26,2023-07-26,Paid,AI Solution,1,9997.62
98-2023-05-25-Co,Company C,Cuba,2023-05-25,2023-06-19,Paid,Web Development,1,1078.16
25-2023-04-10-Co,Company A,Zimbabwe,2023-04-10,2023-05-04,Paid,Mobile App Development,1,2625.67
56-2022-10-28-Co,Company E,Cook Islands,2022-10-28,2022-11-07,Pending,AI Solution,1,5376.74
5-2023-03-19-Co,Company A,Lithuania,2023-03-19,2023-04-11,Overdue,E-commerce Development,1,2851.04
55-2023-03-02-Co,Company B,Bahamas,2023-03-02,2023-03-28,Pending,Web Development,1,2006.64
59-2022-09-28-Co,Company D,Guinea,2022-09-28,2022-10-13,Overdue,AI Solution,1,3722.03
97-2023-01-26-Co,Company D,Cote d'Ivoire,2023-01-26,2023-02-08,Overdue,E-commerce Development,1,4932.31
93-2022-08-01-Co,Company A,Greenland,2022-08-01,2022-08-22,Overdue,E-commerce Development,1,2258.36
2-2023-05-11-Co,Company D,Norway,2023-05-11,2023-05-21,Overdue,Web Development,1,2055.43
75-2023-03-22-Co,Company E,Pakistan,2023-03-22,2023-04-03,Overdue,Web Development,1,2399.08
40-2023-02-07-Co,Company B,Qatar,2023-02-07,2023-03-01,Overdue,Mobile App Development,1,2773.4
92-2023-02-06-Co,Company C,Guinea-Bissau,2023-02-06,2023-02-28,Overdue,AI Solution,1,9132.36
45-2023-01-13-Co,Company E,Australia,2023-01-13,2023-02-10,Paid,Mobile App Development,1,1438.43
65-2023-04-07-Co,Company C,Malta,2023-04-07,2023-04-29,Overdue,UI/UX Design,1,910.72
5-2022-08-06-Co,Company C,Papua New Guinea,2022-08-06,2022-08-28,Paid,UI/UX Design,1,655.8
17-2023-05-05-Co,Company C,Bolivia,2023-05-05,2023-05-27,Paid,UI/UX Design,1,915.05
94-2023-01-31-Co,Company E,Jordan,2023-01-31,2023-02-27,Paid,Mobile App Development,1,3943.21
91-2022-07-28-Co,Company C,Chad,2022-07-28,2022-08-15,Pending,IoT Solution,1,2202.21
47-2022-07-24-Co,Company A,Croatia,2022-07-24,2022-08-05,Pending,E-commerce Development,1,1449.69
47-2022-11-10-Co,Company E,Greece,2022-11-10,2022-11-25,Paid,Mobile App Development,1,4095.63
37-2022-07-23-Co,Company E,Iran,2022-07-23,2022-08-04,Pending,Web Development,1,1918.58
74-2023-06-27-Co,Company C,Saint Martin,2023-06-27,2023-07-13,Overdue,Web Development,1,1805.88
31-2023-03-08-Co,Company E,Marshall Islands,2023-03-08,2023-04-06,Paid,Web Development,1,1548.33
14-2022-09-21-Co,Company D,Namibia,2022-09-21,2022-10-01,Overdue,Mobile App Development,1,4321.95
47-2023-05-14-Co,Company E,Reunion,2023-05-14,2023-06-05,Pending,AI Solution,1,8786.06
91-2023-01-28-Co,Company C,Malaysia,2023-01-28,2023-02-21,Pending,Mobile App Development,1,3396.88
39-2023-02-07-Co,Company B,Burkina Faso,2023-02-07,2023-02-17,Paid,Mobile App Development,1,4296.82
66-2022-12-08-Co,Company E,Japan,2022-12-08,2022-12-29,Pending,UI/UX Design,1,296.06
16-2022-09-25-Co,Company C,Denmark,2022-09-25,2022-10-11,Pending,Web Development,1,502.12
60-2022-10-08-Co,Company B,Uganda,2022-10-08,2022-10-25,Paid,AI Solution,1,7009.46
86-2022-07-31-Co,Company A,Slovenia,2022-07-31,2022-08-24,Paid,Web Development,1,755.73
17-2022-08-29-Co,Company A,Serbia,2022-08-29,2022-09-23,Overdue,AI Solution,1,7670.07
96-2022-09-16-Co,Company D,Russian Federation,2022-09-16,2022-09-27,Overdue,Mobile App Development,1,1420.86
93-2022-10-17-Co,Company C,Kuwait,2022-10-17,2022-11-09,Pending,E-commerce Development,1,1005.23
8-2023-04-27-Co,Company C,Italy,2023-04-27,2023-05-05,Pending,IoT Solution,1,6563.91
62-2022-07-31-Co,Company C,Belize,2022-07-31,2022-08-14,Overdue,UI/UX Design,1,780.76
4-2022-07-23-Co,Company C,Tuvalu,2022-07-23,2022-08-07,Pending,UI/UX Design,1,536.53
56-2022-10-15-Co,Company A,Croatia,2022-10-15,2022-11-07,Overdue,Web Development,1,2821.91
50-2023-02-16-Co,Company E,Congo,2023-02-16,2023-03-11,Paid,E-commerce Development,1,3937.25
11-2022-08-26-Co,Company D,Uruguay,2022-08-26,2022-09-14,Overdue,Web Development,1,1418.91
79-2023-04-26-Co,Company A,Pitcairn Islands,2023-04-26,2023-05-05,Pending,Mobile App Development,1,3772.75
